,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value ($),Total Shares,Filing
67,BBCP,"Concrete Pumping Holdings, Inc.",Young Bruce F.,Chief Executive Officer,"Sep 15, 2023",$8.07,13746,110930,2275692,"Sep 15, 2023, 05:32 PM"
68,GCMG,GCM Grosvenor Inc.,Hurse Sandra,Chief HR Officer,"Sep 13, 2023",$7.87,9691,76310,33243,"Sep 15, 2023, 05:31 PM"
69,GCMG,GCM Grosvenor Inc.,Hurse Sandra,Chief HR Officer,"Sep 14, 2023",$7.86,17085,134283,16158,"Sep 15, 2023, 05:31 PM"
70,GCMG,GCM Grosvenor Inc.,Hurse Sandra,Chief HR Officer,"Sep 15, 2023",$7.83,16158,126525,0,"Sep 15, 2023, 05:31 PM"
71,TMUS,"T-Mobile US, Inc.",Bazzano Dara,SVP & Chief Accounting Officer,"Sep 13, 2023",$141.36,3953,558796,10877,"Sep 15, 2023, 05:21 PM"
72,TNL,Travel & Leisure Co.,CHAVY OLIVIER,See remarks,"Sep 15, 2023",$38.57,5000,192863,21605,"Sep 15, 2023, 05:19 PM"
73,ANTX,"AN2 Therapeutics, Inc.","Adjuvant Global Health Technology Fund, L.P.",10% Owner,"Sep 13, 2023",$16.00,336,5376,2177547,"Sep 15, 2023, 05:17 PM"
74,ANTX,"AN2 Therapeutics, Inc.","Adjuvant Global Health Technology Fund, L.P.",10% Owner,"Sep 13, 2023",$16.00,64,1024,411893,"Sep 15, 2023, 05:17 PM"
75,PALI,"PALISADE BIO, INC.",Trenschel Robert J.,Director,"Sep 14, 2023",$0.64,300,192,0,"Sep 15, 2023, 05:15 PM"
76,PTEN,PATTERSON UTI ENERGY INC,Holcomb James Michael,Chief Business Officer,"Sep 13, 2023",$15.95,11816,188465,376109,"Sep 15, 2023, 05:11 PM"
77,PTEN,PATTERSON UTI ENERGY INC,Wexler Seth David,SVP/General Counsel/Secretary,"Sep 14, 2023",$15.98,37500,599250,340418,"Sep 15, 2023, 05:09 PM"
78,STRR,"STAR EQUITY HOLDINGS, INC.",Eberwein Jeffrey E.,Executive Chairman,"Sep 15, 2023",$9.39,298,2798,1182414,"Sep 15, 2023, 05:07 PM"
79,STRR,"STAR EQUITY HOLDINGS, INC.",Eberwein Jeffrey E.,Executive Chairman,"Sep 13, 2023",$9.39,1902,17860,1182712,"Sep 15, 2023, 05:07 PM"
80,AKAM,AKAMAI TECHNOLOGIES INC,McGowan Edward J,Chief Financial Officer,"Sep 15, 2023",$105.45,8640,911088,18168,"Sep 15, 2023, 05:04 PM"
81,AMH,American Homes 4 Rent,Smith Bryan,Chief Operating Officer,"Sep 14, 2023",$36.38,8107,294933,94478,"Sep 15, 2023, 05:03 PM"
82,IESC,"IES Holdings, Inc.",Newman Mary K,"VP, General Counsel & Corp Sec","Sep 14, 2023",$69.72,2000,139446,16930,"Sep 15, 2023, 05:02 PM"
83,ROKU,"ROKU, INC",Katz Gidon,"President, Consumer Experience","Sep 14, 2023",$79.14,1968,155748,22572,"Sep 15, 2023, 05:01 PM"
84,FROG,JFrog Ltd,Landman Yoav,Chief Technology Officer,"Sep 14, 2023",$28.03,12352,346192,7057271,"Sep 15, 2023, 05:01 PM"
85,CXW,"CoreCivic, Inc.","Carter, Cole G.","EVP,General Counsel, Secretary","Sep 15, 2023",$10.26,5000,51300,226162,"Sep 15, 2023, 05:00 PM"
86,ALHC,"Alignment Healthcare, Inc.",JOYCE CHRISTOPHER J,Chief Legal and Admin. Officer,"Sep 13, 2023",$5.20,15474,80465,267834,"Sep 15, 2023, 05:00 PM"
87,DNA,"Ginkgo Bioworks Holdings, Inc.",Shetty Reshma P.,See remarks,"Sep 13, 2023",$2.04,37650,76919,12901654,"Sep 15, 2023, 04:59 PM"
88,DNA,"Ginkgo Bioworks Holdings, Inc.",Shetty Reshma P.,See remarks,"Sep 14, 2023",$2.00,37650,75149,12901644,"Sep 15, 2023, 04:59 PM"
89,TREE,"LendingTree, Inc.",LEBDA DOUGLAS R,Chairman & CEO,"Aug 29, 2023",$18.91,172926,3270031,4559,"Sep 15, 2023, 04:59 PM"
90,TREE,"LendingTree, Inc.",LEBDA DOUGLAS R,Chairman & CEO,"Aug 29, 2023",$18.91,84859,1604684,130000,"Sep 15, 2023, 04:59 PM"
91,TREE,"LendingTree, Inc.",LEBDA DOUGLAS R,Chairman & CEO,"Aug 30, 2023",$18.95,130000,2464150,0,"Sep 15, 2023, 04:59 PM"
92,ZETA,Zeta Global Holdings Corp.,Ravella Satish,"Senior Vice President, Finance","Sep 15, 2023",$7.70,5614,43208,234120,"Sep 15, 2023, 04:58 PM"
93,RBC,RBC Bearings INC,Edwards Richard J,V.P. and General Manager,"Sep 14, 2023",$239.74,880,210970,12220,"Sep 15, 2023, 04:57 PM"
94,RBC,RBC Bearings INC,Edwards Richard J,V.P. and General Manager,"Sep 15, 2023",$239.63,4920,1178955,12220,"Sep 15, 2023, 04:57 PM"
95,DNA,"Ginkgo Bioworks Holdings, Inc.",Canton Barry,10% Owner,"Sep 13, 2023",$2.04,37650,76919,12901654,"Sep 15, 2023, 04:56 PM"
96,DNA,"Ginkgo Bioworks Holdings, Inc.",Canton Barry,10% Owner,"Sep 14, 2023",$2.00,37650,75149,12901644,"Sep 15, 2023, 04:56 PM"
97,AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,Culver Chester J,Director,"Sep 14, 2023",$164.93,100,16493,2759,"Sep 15, 2023, 04:53 PM"
98,CRS,CARPENTER TECHNOLOGY CORP,AKINS MARSHALL D,VP Chief Commercial Officer,"Sep 13, 2023",$65.00,1500,97500,23008,"Sep 15, 2023, 04:53 PM"
99,PLAY,"Dave & Buster's Entertainment, Inc.",Mulleady John,"SVP, RE & Dev","Sep 15, 2023",$36.40,7500,273000,68312,"Sep 15, 2023, 04:52 PM"
